PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,"13,82,837","10,63,730",0.779,58560,0.055
Agra,18,SC,Uttar Pradesh [2000 Onwards],Satyapal Singh Baghel,Bharatiya Janta Party,"18,66,262","11,45,323",0.617,"2,11,546",0.185
Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,"17,93,677","12,03,797",0.673,"2,81,474",0.234
Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,"17,13,598","11,16,367",0.657,"4,34,330",0.389
Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,"15,80,673","9,97,024",0.64,"3,21,546",0.323
Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,"18,44,532","12,62,214",0.69,"4,16,424",0.33
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,"17,14,490","10,25,314",0.603,"2,75,142",0.268
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"17,57,645","11,19,440",0.642,"2,75,596",0.246
Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),"12,98,061","10,88,728",0.843,10474,0.01
Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,"12,19,063","10,18,743",0.842,"1,58,968",0.156
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,"18,47,005","11,63,184",0.633,"2,29,261",0.197
Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,"15,27,563","13,80,217",0.917,"2,43,989",0.177
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Rita Bahuguna Joshi,Bharatiya Janta Party,"16,79,883","8,89,056",0.534,"1,84,275",0.207
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"12,87,611","6,94,472",0.551,"2,32,986",0.335
Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,"20,59,180","12,65,674",0.617,"3,29,971",0.261
Amalapuram,7,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,"11,56,280","12,32,895",1.081,39795,0.032
Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"17,57,524","13,16,235",0.753,"3,42,345",0.26
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Ritesh Pandey,Bahujan Samaj Party,"17,44,287","10,90,152",0.632,95880,0.088
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Smriti Irani,Bharatiya Janta Party,"17,03,510","9,42,453",0.556,55120,0.058
Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,"17,52,097","11,12,385",0.638,36951,0.033
Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,"16,02,346","9,09,167",0.578,"2,01,431",0.222
Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,"14,68,972","8,59,513",0.591,99626,0.116
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kunwar Danish Ali,Bahujan Samaj Party,"15,96,897","11,69,182",0.736,63248,0.054
Anakapalli,5,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,"13,97,335","12,38,491",0.911,89192,0.072
Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,"16,14,307","11,08,661",0.698,"1,97,718",0.178
Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,"16,48,822","10,81,727",0.667,46884,0.043
Anantapur,19,,Andhra Pradesh [2014 Onwards],Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,"14,89,758","13,42,306",0.912,"1,41,428",0.105
Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,"13,01,023","1,24,896",0.097,6676,0.053
Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,"2,69,360","2,07,296",0.775,1407,0.007
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,"17,50,190","10,52,795",0.607,"1,13,743",0.108
Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,"14,61,110","11,78,060",0.815,"3,28,956",0.279
Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,"16,31,133","14,71,981",0.915,1142,0.001
Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,"14,07,725","11,43,907",0.825,"2,30,806",0.202
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"14,69,717","11,69,630",0.81,"1,37,241",0.117
Arrah,32,GEN,Bihar [2000 Onwards],R. K. Singh,Bharatiya Janta Party,"20,55,316","10,80,684",0.536,"1,47,285",0.136
Aruku,1,,Andhra Pradesh [2014 Onwards],Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,"13,58,657","10,74,538",0.826,"2,24,089",0.209
Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"3,35,682","2,93,781",0.892,69948,0.238
Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"4,58,680","3,58,310",0.785,"1,74,843",0.488
Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,"17,70,467","12,38,135",0.708,"1,97,637",0.16
Aska,19,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,"14,94,153","10,13,862",0.69,"2,04,707",0.202
Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,"13,13,675","10,04,888",0.769,38247,0.038
Aurangabad,19,GEN,Maharashtra,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,"17,62,823","11,98,221",0.683,4492,0.004
Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Bharatiya Janta Party,"17,37,821","9,41,595",0.555,72607,0.077
Autonomous District,3,ST,Assam,Horen Sing Bey,Bharatiya Janta Party,"7,61,744","6,17,735",0.822,"2,39,626",0.388
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"17,73,820","10,29,112",0.584,"2,59,874",0.253
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dr. Sanghmitra Maurya,Bharatiya Janta Party,"21,99,914","10,81,108",0.495,18454,0.017
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"16,88,394","12,04,613",0.72,"1,68,187",0.14
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr. Satyapal Singh,Bharatiya Janta Party,"15,58,020","10,44,894",0.674,23502,0.022
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"17,46,812","12,99,997",0.752,80696,0.062
Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Akshaibar Lal,Bharatiya Janta Party,"16,86,646","9,89,848",0.595,"1,28,752",0.13
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Dr Dhal Singh Bisen,Bharatiya Janta Party,"17,25,505","13,72,018",0.798,"2,42,066",0.176
Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,"14,71,650","11,57,871",0.792,12956,0.011
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Virendra Singh,Bharatiya Janta Party,"17,92,821","9,89,732",0.557,15519,0.016
Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,"15,43,162","11,97,849",0.785,33293,0.028
Banaskantha,2,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,"15,12,076","11,02,081",0.737,"3,68,296",0.334
Banda,48,GEN,Uttar Pradesh [2000 Onwards],R.K. Singh Patel,Bharatiya Janta Party,"16,59,357","10,34,549",0.635,58938,0.057
Bangalore Cent,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,"21,65,307","11,97,234",0.558,70968,0.059
Bangalore Nort,24,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,"28,19,424","15,59,459",0.557,"1,47,518",0.095
Bangalore Rura,23,GEN,Karnataka,D.K. Suresh,Indian National Congress,"16,01,076","16,21,906",1.021,"2,06,870",0.128
Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,"21,75,375","11,88,491",0.551,"3,31,192",0.279
Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,"16,18,541","14,07,758",0.874,"1,11,594",0.079
Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),"16,87,940","9,95,806",0.594,"2,00,532",0.201
Bankura,36,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,"17,70,248","13,71,855",0.783,"1,74,333",0.127
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"17,48,683","9,69,136",0.562,"1,53,468",0.158
Banswara,20,ST,Rajasthan,Kanakmal Katara,Bharatiya Janta Party,"19,20,325","14,39,671",0.765,"3,05,464",0.212
Bapatla,15,,Andhra Pradesh [2014 Onwards],Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,"13,61,646","12,66,492",0.94,16065,0.013
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],Upendra Singh Rawat,Bharatiya Janta Party,"17,62,832","11,55,341",0.66,"1,10,140",0.095
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"20,25,795","13,04,728",0.648,"1,55,774",0.119
Baramulla,1,,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,"11,90,745","4,55,550",0.389,30233,0.066
Barasat,17,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,"18,82,204","13,94,766",0.751,"1,09,983",0.079
Bardhaman Purb,38,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,"18,36,635","14,39,286",0.79,89311,0.062
Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,"17,79,851","13,48,038",0.77,"2,15,447",0.16
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Santosh Kumar Gangwar,Bharatiya Janta Party,"17,60,865","10,68,342",0.609,"1,67,282",0.157
Bargarh,1,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,"15,30,044","12,47,912",0.825,63939,0.051
Barmer,17,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,"23,20,339","14,22,271",0.621,"3,23,808",0.228
Barpeta,6,GEN,Assam,Abdul Khaleque,Indian National Congress,"14,49,560","14,58,549",1.013,"1,40,307",0.096
Barrackpore,15,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,"15,51,157","11,04,517",0.72,14857,0.013
Basirhat,18,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,"18,33,511","14,33,339",0.787,"3,50,369",0.244
Bastar,10,ST,Chhattisgarh,Deepak Baij,Indian National Congress,"13,57,443","9,12,846",0.703,38982,0.043
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,"18,39,900","10,54,539",0.579,30354,0.029
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"15,89,895","12,00,810",0.764,21772,0.018
Beed,39,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,"16,21,102","13,52,399",0.836,"1,68,368",0.124
Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,"19,42,769","12,25,594",0.641,"4,22,217",0.344
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"17,49,746","12,05,229",0.691,"3,91,304",0.325
Bellary,9,ST,Karnataka,Y. Devendrappa,Bharatiya Janta Party,"17,13,330","12,21,926",0.719,55707,0.046
Berhampur,20,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,"14,33,671","9,89,910",0.701,94844,0.096
Betul,29,ST,Madhya Pradesh [2000 Onwards],Durga Das (D.D.) UIKEY,Bharatiya Janta Party,"17,02,517","13,57,857",0.811,"3,60,241",0.265
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Ramesh Chand,Bharatiya Janta Party,"18,86,673","10,39,390",0.556,43615,0.042
Bhadrak,7,SC,Orissa,Manjulata Mandal,Biju Janata Dal,"15,83,464","12,23,754",0.777,28803,0.024
Bhagalpur,26,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),"18,11,980","10,42,518",0.593,"2,77,630",0.266
Bhandara - Gon,11,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,"17,56,518","12,44,931",0.715,"1,97,394",0.159
Bharatpur,9,SC,Rajasthan,Ranjeeta Koli,Bharatiya Janta Party,"18,97,465","11,46,797",0.607,"3,18,399",0.278
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"15,22,113","11,49,725",0.76,"3,34,214",0.291
Bhavnagar,15,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,"17,34,124","10,41,279",0.61,"3,29,519",0.316
Bhilwara,23,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,"19,58,631","13,10,513",0.678,"6,12,000",0.467
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,"17,11,977","9,60,687",0.564,"1,99,885",0.208
Bhiwandi,23,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,"17,85,952","10,05,172",0.572,"1,56,329",0.156
Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,"15,66,494","11,61,115",0.743,"4,44,463",0.383
Bhongir,14,GEN,Telangana,Komati Reddy Venkat Reddy,Indian National Congress,"15,44,683","12,12,631",0.793,5219,0.004
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Sadhvi Pragya Singh Thakur,Bharatiya Janta Party,"20,75,376","14,07,954",0.681,"3,64,822",0.259
Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,"16,00,900","10,05,215",0.632,23839,0.024
Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,"17,40,232","11,17,167",0.643,"1,16,834",0.105
Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"17,77,109","11,11,354",0.632,"2,58,038",0.232
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Malook Nagar,Bahujan Samaj Party,"16,19,514","11,00,763",0.682,69941,0.064
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"17,93,022","10,99,598",0.621,"2,64,081",0.24
Bilaspur,5,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,"18,11,606","12,09,434",0.67,"1,41,763",0.117
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"15,87,802","14,49,423",0.921,88924,0.061
Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,"17,40,964","14,20,648",0.824,78047,0.055
Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"16,77,774","13,06,705",0.788,19516,0.015
Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,"18,64,137","14,61,269",0.791,"1,06,402",0.073
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,"17,59,305","11,23,629",0.642,"2,90,057",0.258
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"19,77,994","11,20,359",0.57,"1,33,287",0.119
Burdwan - Durg,39,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,"19,05,750","14,33,007",0.762,2439,0.002
Buxar,33,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,"18,06,004","9,86,861",0.556,"1,17,609",0.119
Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,"11,63,476","9,90,224",0.858,"1,32,274",0.134
Chamarajanagar,22,SC,Karnataka,V. Srinivas Prasad,Bharatiya Janta Party,"16,69,209","12,70,658",0.769,1817,0.001
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahendra Nath Pandey,Bharatiya Janta Party,"16,96,059","10,84,961",0.646,13959,0.013
Chandigarh,1,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,"6,15,214","4,56,568",0.749,46970,0.103
Chandni Chowk,1,GEN,Delhi [1977 Onwards],"Patni, Nitai Chand",Bharatiya Janta Party,"14,47,228","9,80,390",0.681,"2,28,145",0.233
Chandrapur,13,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,"18,46,431","12,38,474",0.677,44763,0.036
Chatra,4,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,"13,75,612","9,25,937",0.679,"3,77,871",0.408
Chelvella,10,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,"23,02,163","13,00,194",0.569,14317,0.011
Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"13,16,388","7,85,450",0.607,"3,01,520",0.384
Chennai North,2,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,"14,44,753","9,55,545",0.672,"4,61,518",0.483
Chennai South,3,GEN,Tamil Nadu,T.Sumathy (A) THAMIZHACHI THANGAPANDIAN,Dravida Munetra Kazhagam,"19,16,378","11,25,857",0.596,"2,62,223",0.233
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Nakul Kamal Nath,Indian National Congress,"14,80,503","12,48,031",0.857,37536,0.03
Chhota Udaipur,21,ST,Gujarat,Rathva Gitaben Vajesingbhai,Bharatiya Janta Party,"14,33,397","12,32,459",0.883,"3,77,943",0.307
Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,"14,59,769","11,53,192",0.801,3219,0.003
Chikkballapur,27,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,"18,04,143","13,86,963",0.773,"1,82,110",0.131
Chikkodi,1,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,"15,74,203","12,17,549",0.78,"1,18,877",0.098
Chitradurga,18,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,"17,36,643","12,45,950",0.72,80178,0.064
Chittoor,25,,Andhra Pradesh [2014 Onwards],N. Reddeppa,Yuvajana Sramika Rythu Congress Party,"14,30,405","13,19,472",0.937,"1,37,271",0.104
Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,"19,82,095","14,58,760",0.745,"5,76,247",0.395
Churu,3,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,"19,62,475","13,28,422",0.682,"3,34,402",0.252
Coimbatore,20,GEN,Tamil Nadu,Natarajan. P.R,Communist Party Of India (Marxist),"19,09,712","12,50,885",0.667,"1,79,143",0.143
Cooch Behar,1,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,"16,87,773","15,24,683",0.912,54231,0.036
Cuddalore,26,GEN,Tamil Nadu,T. R. V .S. Ramesh,Dravida Munetra Kazhagam,"13,42,320","10,43,202",0.784,"1,43,983",0.138
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"14,60,895","10,59,490",0.73,"1,21,201",0.114
Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,"1,96,617","1,98,983",1.027,9001,0.045
Dahod,19,ST,Gujarat,Jashvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,"15,42,941","10,63,212",0.71,"1,27,596",0.12
Dakshina Kanna,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,"16,98,859","13,45,039",0.796,"2,74,621",0.204
Daman And Diu,1,GEN,Daman & Diu,Lalubhai Babubhai Patel,Bharatiya Janta Party,"1,11,827",87469,0.796,9942,0.114
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,"17,37,702","11,64,226",0.674,"3,53,411",0.304
Darbhanga,14,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,"16,44,671","9,64,996",0.599,"2,67,979",0.278
Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,"15,19,531","12,67,270",0.841,"4,13,443",0.326
Dausa,11,ST,Rajasthan,Jaskaur Meena,Bharatiya Janta Party,"16,92,217","10,62,834",0.632,78444,0.074
Davanagere,13,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,"16,13,781","11,94,586",0.742,"1,69,702",0.142
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Ramapati Ram Tripathi,Bharatiya Janta Party,"17,51,752","10,15,363",0.587,"2,49,931",0.246
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,"17,18,488","13,98,946",0.819,"3,72,249",0.266
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"20,50,314","12,52,817",0.613,"4,86,194",0.388
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Chattarsingh Darbar,Bharatiya Janta Party,"17,52,846","13,44,132",0.777,"1,56,029",0.116
Dharmapuri,10,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,"14,53,257","12,23,205",0.851,70753,0.058
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"16,87,290","12,13,505",0.721,"2,05,072",0.169
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Rekha Verma,Bharatiya Janta Party,"16,04,211","10,63,840",0.67,"1,60,611",0.151
Dhenkanal,9,GEN,Orissa,Mahesh Sahoo,Biju Janata Dal,"14,61,182","11,31,522",0.782,35412,0.031
Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,"17,99,561","16,85,005",0.941,"2,26,258",0.134
Dhule,2,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,"17,87,801","10,85,038",0.608,"2,29,243",0.211
Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,"18,73,955","14,09,002",0.761,"3,20,594",0.228
Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,"12,65,748","10,15,748",0.819,"3,64,566",0.359
Dindigul,22,GEN,Tamil Nadu,"Velusamy, P.",Dravida Munetra Kazhagam,"15,18,633","11,60,046",0.773,"5,38,972",0.465
Dindori,20,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,"16,51,955","11,37,631",0.694,"1,98,779",0.175
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,"18,94,047","9,85,269",0.526,"1,05,321",0.107
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"16,99,710","12,04,660",0.717,53002,0.044
Dumka,2,ST,Jharkhand,Sunil Soren,Bharatiya Janta Party,"13,49,843","10,25,968",0.771,47590,0.046
Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,"18,78,677","13,91,996",0.743,"3,91,978",0.282
East Delhi,3,GEN,Delhi [1977 Onwards],Jadunandan Prasad,Bharatiya Janta Party,"18,29,578","12,57,821",0.69,"3,91,222",0.311
Eluru,10,,Andhra Pradesh [2014 Onwards],Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,"14,18,277","13,27,923",0.953,"1,65,925",0.125
Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,"11,90,575","9,67,203",0.817,"1,69,153",0.175
Erode,17,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,"14,27,534","10,67,863",0.758,"2,10,618",0.197
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (Raju Bhaiya),Bharatiya Janta Party,"15,87,949","9,99,607",0.633,"1,22,670",0.123
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Dr Ram Shankar Katheria,Bharatiya Janta Party,"17,14,935","10,27,815",0.603,64437,0.063
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,"17,83,699","10,87,121",0.615,65477,0.06
Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"19,26,323","13,27,295",0.692,"6,38,239",0.481
Faridkot,9,SC,Punjab,Mohammad Sadique,Indian National Congress,"15,15,062","9,74,947",0.656,83256,0.085
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"16,61,488","10,02,953",0.608,"2,21,702",0.221
Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,"14,70,008","9,85,948",0.68,93898,0.095
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,"17,83,535","10,43,655",0.593,"1,98,205",0.19
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,"16,60,405","10,37,151",0.631,"4,95,065",0.477
Ferozpur,10,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,"15,87,296","11,72,033",0.748,"1,98,850",0.17
